_MEMBER_Tbc1d13,_LogP_Tbc1d13,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.8,C1846176,M1,1,0,DisGeNET,35,Hyperactive deep tendon reflexes,,-4.8,62,13,30286,32,46,3,6.5,3.6,3748|5621|56006,KCNC3|PRNP|SMG9,-0.36,0
1,-4.3,C0027066,M1,1,0,DisGeNET,35,Myoclonus,,-4.3,12,7.3,30286,264,46,5,11,4.6,1759|3748|5621|55005|79734,DNM1|KCNC3|PRNP|RMND1|KCTD17,-0.31,0
1,-4.2,C4021821,M1,1,0,DisGeNET,35,Abnormality of the urinary system,,-4.2,40,11,30286,50,46,3,6.5,3.6,2720|6223|6235,GLB1|RPS19|RPS29,-0.31,0
1,-4.1,C0040485,M1,1,0,DisGeNET,35,Torticollis,,-4.1,36,10,30286,55,46,3,6.5,3.6,3748|8558|79734,KCNC3|CDK10|KCTD17,-0.28,0
1,-3.3,C0007758,M1,1,0,DisGeNET,35,Cerebellar Ataxia,,-3.3,7.5,5.3,30286,440,46,5,11,4.6,1759|2720|3748|5621|402665,DNM1|GLB1|KCNC3|PRNP|IGLON5,0,0
1,-3.1,C1842876,M1,1,0,DisGeNET,35,Depressed nasal ridge,,-3.1,17,6.7,30286,117,46,3,6.5,3.6,2720|6223|6235,GLB1|RPS19|RPS29,0,0
1,-2.9,C0002962,M1,1,0,DisGeNET,35,Angina Pectoris,,-2.9,14,6.1,30286,139,46,3,6.5,3.6,2720|3949|78987,GLB1|LDLR|CRELD1,0,0
1,-2.9,C0231686,M1,1,0,DisGeNET,35,"Gait, Unsteady",,-2.9,14,6,30286,143,46,3,6.5,3.6,1759|5621|440193,DNM1|PRNP|CCDC88C,0,0
1,-2.9,C1839739,M1,1,0,DisGeNET,35,Thick lower lip vermilion,,-2.9,14,5.9,30286,145,46,3,6.5,3.6,6223|6235|56006,RPS19|RPS29|SMG9,0,0
1,-2.8,C1858430,M1,1,0,DisGeNET,35,Death in infancy,,-2.8,14,5.9,30286,146,46,3,6.5,3.6,2720|55005|60386,GLB1|RMND1|SLC25A19,0,0
1,-2.8,C0454644,M1,1,0,DisGeNET,35,Delayed speech and language development,,-2.8,5.9,4.5,30286,560,46,5,11,4.6,1759|2720|5621|8558|55621,DNM1|GLB1|PRNP|CDK10|TRMT1,0,0
1,-2.8,C0087012,M1,1,0,DisGeNET,35,"Ataxia, Spinocerebellar",,-2.8,13,5.7,30286,155,46,3,6.5,3.6,3748|5621|440193,KCNC3|PRNP|CCDC88C,0,0
1,-2.7,C0008489,M1,1,0,DisGeNET,35,Chorea,,-2.7,12,5.5,30286,168,46,3,6.5,3.6,39|5621|402665,ACAT2|PRNP|IGLON5,0,0
1,-2.6,C0751837,M1,1,0,DisGeNET,35,Gait Ataxia,,-2.6,11,5.4,30286,172,46,3,6.5,3.6,3748|5621|440193,KCNC3|PRNP|CCDC88C,0,0
1,-2.5,C0034012,M1,1,0,DisGeNET,35,Delayed Puberty,,-2.5,10,5,30286,196,46,3,6.5,3.6,6223|6235|6307,RPS19|RPS29|MSMO1,0,0
1,-2.5,C1531647,M1,1,0,DisGeNET,35,Cerebral ventriculomegaly,,-2.5,6.4,4.3,30286,410,46,4,8.7,4.2,2720|5621|60386|440193,GLB1|PRNP|SLC25A19|CCDC88C,0,0
1,-2.4,C0020445,M1,1,0,DisGeNET,35,"Hypercholesterolemia, Familial",,-2.4,9.7,4.9,30286,203,46,3,6.5,3.6,2720|3949|5141,GLB1|LDLR|PDE4A,0,0
